fecha,producto,canal,unidades,precio_unit,costo_unit,stock
2025-01-01,Sandwich Veggie,Eventos,6,3.06,1.77,4
2025-01-01,Té Chai,Tienda,1,6.71,2.82,11
2025-01-01,Brownie,Tienda,5,4.97,1.89,3
2025-01-02,Brownie,Mayorista,2,3.54,1.35,3
2025-01-02,Wrap Saludable,Tienda,1,12.01,6.61,5
2025-01-02,Café Latte,Eventos,2,9.75,4.39,18
2025-01-03,Café Latte,Online,4,3.07,1.38,18
2025-01-03,Jugo Natural,Online,1,8.9,4.45,7
2025-01-03,Combo Familiar,Eventos,3,7.32,4.54,2
2025-01-04,Café Latte,Online,5,11.89,5.35,18
2025-01-04,Jugo Natural,Online,1,9.19,4.6,7
2025-01-04,Sandwich Veggie,Tienda,3,3.62,2.1,4
2025-01-05,Jugo Natural,Eventos,2,8.21,4.1,7
2025-01-05,Café Latte,Mayorista,4,11.44,5.15,18
2025-01-05,Wrap Saludable,App,5,13.12,7.22,5
2025-01-06,Sandwich Veggie,Tienda,6,11.47,6.65,4
2025-01-06,Té Chai,Mayorista,5,5.95,2.5,11
2025-01-06,Combo Familiar,App,3,10.89,6.75,2
2025-01-07,Jugo Natural,App,5,7.31,3.66,7
2025-01-07,Café Latte,Mayorista,2,13.23,5.95,18
2025-01-07,Combo Familiar,Tienda,1,13.56,8.41,2
2025-01-08,Wrap Saludable,App,3,6.41,3.53,5
2025-01-08,Jugo Natural,Mayorista,5,8.21,4.1,7
2025-01-08,Combo Familiar,App,1,12.16,7.54,2
2025-01-09,Brownie,App,1,10.91,4.15,3
2025-01-09,Combo Familiar,Mayorista,6,9.15,5.67,2
2025-01-09,Café Latte,App,3,10.74,4.83,18
2025-01-10,Café Latte,Mayorista,2,9.53,4.29,18
2025-01-10,Brownie,App,1,5.01,1.9,3
2025-01-10,Sandwich Veggie,Mayorista,2,10.99,6.37,4
2025-01-11,Brownie,Eventos,2,7.67,2.91,3
2025-01-11,Wrap Saludable,Mayorista,3,12.66,6.96,5
2025-01-11,Café Latte,Mayorista,5,5.7,2.56,18
