"Path","File","Folder","NumeroControl","Correlativo","CodigoGeneracion","SelloRecibido","HasSello","GenericName","Note"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets\20240401_1_Ticket.json","20240401_1_Ticket.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets","FC50A298","298","447f86a1190549f88ebfcae8ce9fb7d3",,"False","False","sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets\20240401_5_Ticket.json","20240401_5_Ticket.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets","D5731CE7","7","9bb2de5a59174113aab6a751fa5994d0",,"False","False","sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets\20240401_6_Ticket.json","20240401_6_Ticket.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets","5F84B37D",,"dad63cbd464f4f48b281840059dbdb72",,"False","False","numeroControl sin correlativo; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets\20260107_3_Ticket.json","20260107_3_Ticket.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets","DTE-01-S001P001-000000000000137","137","F0E1DA70-7555-4867-9F0A-E09735D03CEE",,"False","False","sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets\20260108_12_Ticket.json","20260108_12_Ticket.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets","DTE-01-S001P001-000000000001197","1197","A674BB4D-3CDB-40E8-8A85-FFCC5EF1D99D",,"False","False","sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets\20260108_14_Ticket.json","20260108_14_Ticket.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets","DTE-01-S001P001-000000000001199","1199","14181011-B5F3-4C02-9595-9DBE65F86BC7",,"False","False","sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets\20260108_15_Ticket.json","20260108_15_Ticket.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets","DTE-01-S001P001-000000000001200","1200","C4C57302-4EDB-4F54-BA88-767DC5552D32",,"False","False","sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets\20260108_17_Ticket.json","20260108_17_Ticket.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets","DTE-01-S001P001-000000000001201","1201","022870E1-2AA5-4ED1-B036-9265DCEE630E",,"False","False","sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets\20260108_21_Ticket.json","20260108_21_Ticket.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets","DTE-01-S001P001-000000000001202","1202","56EEC8D8-C3BE-4CE0-B2BD-B464C7C33069",,"False","False","sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets\20260108_7_Ticket.json","20260108_7_Ticket.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets","DTE-01-S001P001-000000000001194","1194","B1D26674-E47C-403C-8EEA-C1A091C10358",,"False","False","sin sello"
